source_file,source_section,source_line_or_heading,required_style,category,country,region,appellation_or_style,grape_or_blend,requirement_level,notes
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1915,Asti,espumoso/dulce,Italy,Piemonte,Asti DOCG,Muscat Blanc à Petits Grains,Imprescindible,"Extraido de linea textual ""Asti, Prosecco"" como estilo auditable separado."
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1915,Prosecco,espumoso,Italy,Veneto / Friuli,Prosecco / Conegliano-Valdobbiadene,Glera,Imprescindible,"Extraido de linea textual ""Asti, Prosecco"" como estilo auditable separado."
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1917,Cava,espumoso,Spain,Catalonia / Spain,Cava DO,Macabeo / Xarel-lo / Parellada,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1922-1923,Espumoso método tradicional de Australia/NZ/Sudáfrica/EE. UU.,espumoso,Australia / New Zealand / South Africa / USA,Tasmania / Marlborough / Cap Classique / California,regional,Chardonnay / Pinot Noir,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1939,Fino o Manzanilla,fortificado,Spain,Jerez,Jerez-Xérès-Sherry / Manzanilla-Sanlúcar,Palomino,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1940,Amontillado seco u Oloroso seco,fortificado,Spain,Jerez,Jerez-Xérès-Sherry,Palomino,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1942,Jerez Medium o Cream,fortificado/dulce,Spain,Jerez,Jerez-Xérès-Sherry,Palomino + PX/Moscatel,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1944,Oporto LBV u Oporto Vintage,fortificado/dulce,Portugal,Douro,Port,Touriga Franca / Tinta Roriz / Touriga Nacional,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1945,Porto Tawny con indicación de edad,fortificado/dulce,Portugal,Douro,Port,Touriga Franca / Tinta Roriz / Touriga Nacional,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1950,Muscat de Beaumes-de-Venise,fortificado/dulce,France,Southern Rhône,Muscat de Beaumes-de-Venise,Muscat,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1951,Rutherglen Muscat,fortificado/dulce,Australia,Rutherglen,Rutherglen,Muscat,Opcional,
